"longitude","latitude","total_cases","id","voronoipop","nbHF","voronoiadjpop","sampling","provnames","access","pet","pop","urban","W.access"
113.3859,22.52105,92,30,6079909,1,6079909,1,"Guangdong",-1.58399266304874,0.410705305488861,3.31636712136581,3.34009931573616,-1.024885242734
113.4236,31.8296,615,236,3998239.75,1,3998239.75,1,"Hubei",-0.9524809636426,0.0603986268102795,1.29178268109557,1.04914024146844,-2.48782583702217
113.4305,23.35183,240,42,9933129,1,9933129,1,"Guangdong",-0.900777522221591,0.188409154872861,1.86557543045904,1.60478280197445,-1.03800127412179
113.468,34.62931,244,283,7679790.5,1,7679790.5,1,"Henan",-0.724604205574182,0.711067821109899,1.45305319639591,1.54315401835626,-1.60973837796258
113.4968,38.06465,2,347,316073.15625,1,316073.15625,1,"Shanxi",-2.08931201402825,0.649438226045667,1.66626373219897,1.8833394982509,-0.951635694851555
113.5115,29.49117,2,462,1298955.75,1,1298955.75,1,"Hunan",-1.40642070299819,0.012899530824175,2.05278550813148,1.5765653566085,-2.54864302239401
113.5158,27.12398,120,108,2395237.25,1,2395237.25,1,"Hunan",-0.576231393043325,-0.125873824264011,0.857698172018798,0.908073082529765,-1.75557123996338
113.5364,23.34983,554,41,2283606.25,1,2283606.25,1,"Guangdong",-1.27992583813524,0.202380231375598,1.49421452301452,2.01634398247666,-1.03384302161681
113.5622,37.84235,2,553,1505074.375,1,1505074.375,1,"Shanxi",-3.48734128313532,0.749668156759125,3.24943019145509,2.90893079372521,-0.973480391792598
113.6136,33.90335,142,493,2008447.375,1,2008447.375,1,"Henan",-1.35755151984009,0.536010486559452,1.79481508193592,1.52242723366252,-1.66976275396484
113.7089,34.07273,52,272,4088464.25,1,4088464.25,1,"Henan",-2.54928011771025,0.576702331288484,2.12378911547231,1.98022414658504,-1.70743618117662
113.7186,39.9064,6,363,2068677.875,1,2068677.875,1,"Shanxi",-0.0591992749898103,0.349637458655128,0.177233751758288,-0.482501700463786,-0.770490244107955
113.7218,27.50699,2,110,1664206.25,1,1664206.25,1,"Jiangxi",-0.658194440627973,-0.0767585428641827,1.27766395659574,0.55942392024932,-1.82627638488517
113.7723,24.82198,14,61,3188023,1,3188023,1,"Guangdong",-0.262528753893681,0.266270996516237,0.83398425356368,1.02750741488956,-1.22327649947346
113.8738,22.93336,130,32,8925300,1,8925300,1,"Guangdong",-1.92112878597867,0.343924463312636,2.55751665083416,2.65161765457178,-1.02710923039754
113.8795,31.12046,1207,217,4887465.5,1,4887465.5,1,"Hubei",-0.920616572592485,0.000816749996439398,1.58734885969292,1.65147760173383,-2.99947160308675
113.89583333,23.89583333,NA,41,2283606.25,1,2283606.25,0,"Guangdong",-0.693137324372387,0.0311601722720182,0.615224818522962,0.584464384365745,-1.03874431227455
113.89583333,25.77083333,NA,83,4368599.5,1,4368599.5,0,"Hunan",0.106936305589017,-0.435245781382521,0.758421183763093,-0.482501700463786,-1.24061012986403
113.89583333,26.39583333,NA,108,2395237.25,1,2395237.25,0,"Hunan",-0.47724060273004,-0.706053375337022,0.451876565509778,-0.482501700463786,-1.48416613355399
113.89583333,28.27083333,NA,130,7941005,1,7941005,0,"Hunan",-0.381808224672458,-0.0132737164545039,1.03560845286381,1.25482519623741,-1.89752458795009
