"x","y","sampling","total_cases","Waccess","access","elevation","aridity","irrigation","lst","pet","pop","urban"
116.2285,40.02186,1,9,-0.825548778540189,-2.00239303454213,-1.27606122182538,-0.0672477227203983,2.50051432256589,-0.594659307055237,0.791495942608334,2.73481943184092,2.39159864226071
116.2063,40.20789,1,7,-0.821803647515433,-1.77827918421937,-1.50154041474328,-0.113617071511975,1.46554081967716,0.103343885793297,0.812142711610486,2.27782556268492,2.67816684651228
109.7128,19.80185,1,3,NA,-0.802402519803291,-1.36769004715619,1.08004818599741,1.10095122381176,-0.478270517698071,1.11639083937816,1.24711529246959,0.802872531822336
109.328,21.67666,1,23,-0.713908967873696,-0.677349516130175,-1.60817827459048,1.21482275378811,1.43590690974979,-0.144322915746793,0.869000267477331,1.46578429691694,1.04067961928189
114.1324,22.38074,1,11,-1.00968004682042,-2.92047046570948,-0.749553363985547,2.52048940474961,-0.404735339899014,-1.16811935107456,0.220797732767224,2.74044188885009,1.17789213539352
112.9444,23.0131,1,27,-1.03032859085064,-0.512398093640237,-2.87859791802808,1.83183098522318,1.45666617545622,-0.923626689806826,0.277881022401053,2.13943944986048,2.18598443830068
110.9909,23.48172,1,5,-0.759769416030255,-0.624908012182986,-1.2993260627279,1.23218342649979,1.03412331616537,-0.634037175375894,0.481886423800063,0.827611994855522,-0.482501700463786
109.371,24.95009,1,12,-1.01235919229158,-0.660547849252584,-0.71307816116238,1.8347948665654,-0.404735339899014,-1.22793181179561,0.0829746950544623,0.611456009180644,0.452153170866968
119.1789,26.05196,1,26,-1.08801674363285,-1.88843360281222,-1.93865371853638,0.9653278630169,-0.404735339899014,-0.380035887639093,0.442344643794562,2.41733472031734,2.75803178544233
107.1928,26.43055,1,1,-0.774212848838684,-0.63064254696841,0.0201019697349381,1.20018950665002,0.931263049489128,-1.33060374616269,-0.567265964298458,0.84374698713663,0.70832659922455
106.7064,26.84311,1,4,-0.726352229618423,-1.27732178459384,0.214101433763726,1.18038841241924,1.20871445856609,-0.240478621258484,-0.697298694698516,1.5004984814311,1.37888512336469
109.9751,27.64106,1,3,-1.18565018853325,-1.04141674555327,-0.777819222890196,1.3278201046166,-0.404735339899014,-0.369915818488853,-0.331750754320139,1.29884927908266,0.686957610714933
108.5408,27.97374,1,3,-1.03712107525548,-0.779494191155859,-0.326889944858137,1.24553106968919,-0.404735339899014,-0.0853611838724402,-0.474683426084024,1.02700235444421,-0.482501700463786
116.0257,28.66149,1,89,-2.24921935399128,-2.2496288746055,-1.92345914408259,1.4119923271778,1.81814100717614,-0.148005574131001,0.300494757513931,2.5440319978433,2.08791374310296
105.8705,29.29301,1,3,-0.687909792580645,-1.60786173928873,-0.819008465116383,1.08897851068314,1.47526340954051,-0.943606007105929,-0.602463301114658,2.00353303851666,1.34433736043513
107.3324,29.66086,1,1,-0.815640601299078,-0.463997920936272,-0.705308240752701,1.21323055496065,-0.404735339899014,-1.09469274038936,-0.46297479582176,1.54777168572264,0.867631680423366
112.200210571,31.0302162170001,1,227,-2.17999853793243,-1.10352702515672,-1.2126409309766,0.784816720710116,1.02335918711937,-0.976410777018538,-0.0191012458608955,2.60767498082646,2.36857783473708
