id,pop,logpop,nbHF,adjpop,longitude,latitude,sampling,total_cases,adj_cases,Waccess,access,elevation,aridity,irrigation,lst,pet,pop.1,urban
826,69938.75,11.1553894361186,1,69938.75,93.27083333,33.89583333,0,,,0.485828572653839,1.6031761487996499,1.08494644121817,-0.14168825676164,-0.404735339899014,2.10698909294117,-0.6846753458094009,-1.10635694341381,-0.482501700463786
918,28091.052734375,10.2432419944797,1,28091.052734375,93.27083333,34.52083333,0,,,0.46775617005796,1.59586246245274,1.50867975377684,0.0520308155634719,-0.404735339899014,1.3089945016158702,-1.42410122417909,-1.00818875846666,-0.482501700463786
993,247780.46875,12.4203024622896,1,247780.46875,93.27083333,35.14583333,0,,,0.445718766830469,1.26160309797716,1.17984327739259,-0.27116717233722104,-0.404735339899014,0.81725463091684,-1.00419312692653,-0.8239793324954731,-0.482501700463786
993,247780.46875,12.4203024622896,1,247780.46875,93.27083333,35.77083333,0,,,0.4836132043839671,1.4747962354493702,1.40481100337939,-0.21161034072592003,-0.404735339899014,0.830151361123804,-1.4756001679783601,-1.11698365657129,-0.482501700463786
993,247780.46875,12.4203024622896,1,247780.46875,93.27083333,36.39583333,0,,,0.455201731462531,1.28184308298105,0.8395667129926999,-0.887290281221389,-0.404735339899014,1.03471387779421,0.130566349437753,-1.52718530352754,-0.482501700463786
1086,12145.3935546875,9.40478757793222,1,12145.3935546875,93.27083333,37.02083333,0,,,0.42089874807904604,0.5894585121628771,0.64655560700808,-1.73389276506159,-0.404735339899014,1.1321594067437701,1.13398969665777,-1.38357928567393,-0.482501700463786
1086,12145.3935546875,9.40478757793222,1,12145.3935546875,93.27083333,37.64583333,0,,,0.42338845040215,0.7827814409696139,0.6130108445104631,-2.28666981602703,-0.404735339899014,1.6231139692118002,1.27167342540607,-1.3057025007314,-0.482501700463786
1086,12145.3935546875,9.40478757793222,1,12145.3935546875,93.27083333,38.27083333,0,,,0.43377223214513205,0.6414175396112659,0.641608279993049,-2.1553476754184198,-0.404735339899014,2.01788659707129,1.17886043866032,-1.9746782966754899,-0.482501700463786
1086,12145.3935546875,9.40478757793222,1,12145.3935546875,93.27083333,38.89583333,0,,,0.45913186745951007,-0.210947408248232,0.6345542164426861,-2.1413146891188504,-0.404735339899014,1.5483208399868997,1.1343890239157701,-1.0827957721444499,-0.482501700463786
1086,12145.3935546875,9.40478757793222,1,12145.3935546875,93.27083333,39.52083333,0,,,0.43789231890069297,-0.223154495330212,0.5469450864212639,-2.12319296099419,-0.404735339899014,0.48573211367540203,1.4032065050996398,-1.3057025007314,-0.482501700463786
1154,201461.34375,12.213357763252098,1,201461.34375,93.27083333,40.14583333,0,,,0.417284286722341,0.8227342687271141,-0.21927808616915603,-2.81232444729806,-0.404735339899014,0.5611408133697909,2.77100472165699,-0.9096981074336059,-0.482501700463786
1154,201461.34375,12.213357763252098,1,201461.34375,93.27083333,40.77083333,0,,,0.434261610545839,0.941229709934745,0.11362574001721,-2.22788034952422,-0.404735339899014,0.22817841755731896,2.3035717330290297,-1.9746782966754899,-0.482501700463786
1247,396178.40625,12.889622433728098,1,396178.40625,93.27083333,41.39583333,0,,,0.455548074785335,1.16975339493073,-0.0569920905326325,-2.00016595616864,-0.404735339899014,0.154309542683474,2.41257298134992,-1.3057025007314,-0.482501700463786
1247,396178.40625,12.889622433728098,1,396178.40625,93.27083333,42.02083333,0,,,0.457464137829847,0.968518640610583,-0.330883462335268,-2.02822705567794,-0.404735339899014,0.761591258266271,2.4849492730778904,-0.428218839387601,0.45215317086696794
1266,118814.8671875,11.6853302391764,1,118814.8671875,93.27083333,44.52083333,0,,,0.589333798815314,0.528511120604721,-0.40646349220082106,-1.33926610885365,-0.404735339899014,0.742947433466262,1.51241199926453,-0.943451064518339,-0.482501700463786
741,61203.2109375,11.0219712723017,1,61203.2109375,93.89583333,30.14583333,0,,,1.31837282855639,1.2079273158260202,1.5647164272933998,1.5046250319000198,-0.404735339899014,-0.38632534117966494,-2.5760534495139398,-0.531253361574435,-0.482501700463786
829,81528.84375,11.3087244131827,1,81528.84375,93.89583333,32.64583333,0,,,0.525839344794813,1.37069438542598,1.5411260949314198,0.629236580450828,-0.404735339899014,1.32039318820715,-1.70807407785362,-0.785421021752885,-0.482501700463786
829,81528.84375,11.3087244131827,1,81528.84375,93.89583333,33.27083333,0,,,0.482008674827538,0.6962969905380091,1.6021045783203798,0.5567872941956601,-0.404735339899014,1.26448668880803,-1.8591584534608898,-0.76181457150961,-0.482501700463786
896,17323.66796875,9.759886659011539,1,17323.66796875,93.89583333,33.89583333,0,,,0.44302758502674394,1.6443164260412402,1.1937608780523798,0.0683956348283605,-0.404735339899014,1.92906068740325,-1.1134600682738,-1.08293546390195,-0.482501700463786
918,28091.052734375,10.2432419944797,1,28091.052734375,93.89583333,34.52083333,0,,,0.42528258116168893,1.19033176406941,1.12453126224541,-0.14186800537742097,-0.404735339899014,1.79950817907626,-0.9369313721591022,-0.969513925229547,-0.482501700463786
993,247780.46875,12.4203024622896,1,247780.46875,93.89583333,35.14583333,0,,,0.399247620156995,1.0383609741081898,1.04868350787789,-0.394475663918747,-0.404735339899014,1.8974062206432099,-0.713384595700241,-0.825836093860561,-0.482501700463786
993,247780.46875,12.4203024622896,1,247780.46875,93.89583333,35.77083333,0,,,0.43064669321778604,1.3302759948365,1.67211389460426,0.0777333335840347,-0.404735339899014,-0.33711769032457894,-2.09403346673956,-0.95863559701218,-0.482501700463786
993,247780.46875,12.4203024622896,1,247780.46875,93.89583333,36.39583333,0,,,0.376657972452635,0.981583580256982,0.6797111807034599,-1.36409848960676,-0.404735339899014,1.5778278956391698,0.989420255020774,-0.679448481699504,-0.482501700463786
993,247780.46875,12.4203024622896,1,247780.46875,93.89583333,37.02083333,0,,,0.357820384769379,0.974670724162918,0.618521634745701,-2.02258512204103,-0.404735339899014,1.1315183014566599,1.28425927070926,-1.04700888105807,-0.482501700463786
1086,12145.3935546875,9.40478757793222,1,12145.3935546875,93.89583333,37.64583333,0,,,0.36543307997188895,0.814486162644944,0.6295555477758521,-2.06171338409942,-0.404735339899014,1.71756246701039,1.21707807240678,-1.3057025007314,-0.482501700463786
1086,12145.3935546875,9.40478757793222,1,12145.3935546875,93.89583333,38.89583333,0,,,0.428370724828109,-0.36832134976521097,0.64440290183376,-1.50349379031928,-0.404735339899014,0.0464831251858151,0.8475672486053101,-1.49070557030325,0.374227561816086
1137,10922.498046875,9.298671531965839,1,10922.498046875,93.89583333,39.52083333,0,,,0.39183446982908204,-0.665590222233064,0.536849923308465,-1.76234311064039,-0.404735339899014,0.350748843456146,1.4281885022152,-0.7087206938583,0.390074972033105
1154,201461.34375,12.213357763252098,1,201461.34375,93.89583333,40.14583333,0,,,0.366189125192204,-0.32854719574004604,-0.0380266859477001,-2.4135795698111497,-0.404735339899014,0.24877268018374202,2.5224622621095403,-0.301342690020669,-0.482501700463786
1154,201461.34375,12.213357763252098,1,201461.34375,93.89583333,40.77083333,0,,,0.388197866088929,0.5189336116778379,0.36947527593026397,-1.50820108753314,-0.404735339899014,0.5464718151864241,1.90391546235124,-0.63263207492108,-0.482501700463786
1247,396178.40625,12.889622433728098,1,396178.40625,93.89583333,41.39583333,0,,,0.41211520148563197,0.7715369163419721,0.13501636192388,-1.59396242407862,-0.404735339899014,0.219437807938221,2.1494720773782303,-1.1030243344161699,-0.482501700463786
1247,396178.40625,12.889622433728098,1,396178.40625,93.89583333,42.02083333,0,,,0.41446568671491296,0.10105495421863,-0.19488763867552697,-1.63071895274775,-0.404735339899014,0.36560213171840705,2.23067261428741,-0.47364587261438706,-0.482501700463786
1247,396178.40625,12.889622433728098,1,396178.40625,93.89583333,43.27083333,0,,,0.49084132596260793,0.6084133415840961,0.6248443625119571,-0.530519031989091,-0.404735339899014,-1.1895691186736101,-0.845177953133679,-0.18552064298338397,-0.482501700463786
1266,118814.8671875,11.6853302391764,1,118814.8671875,93.89583333,43.89583333,0,,,0.560327615278085,0.32225443549974797,0.16399458434757,-1.06108623906114,-0.404735339899014,0.23415280007356098,1.10123719334978,-0.6464084851268621,-0.482501700463786
1266,118814.8671875,11.6853302391764,1,118814.8671875,93.89583333,44.52083333,0,,,0.599222434155283,0.321509583617836,-0.510270952533448,-1.44680545163923,-0.404735339899014,0.605856025004937,1.5768545356543702,-0.9320750941730429,-0.482501700463786
741,61203.2109375,11.0219712723017,1,61203.2109375,94.52083333,30.14583333,0,,,1.39671492879591,1.3599979436584198,0.9240281791902719,0.806280784514047,-0.404735339899014,-0.10512048456151402,-1.69074979555143,-0.46594196089877793,-0.482501700463786
829,81528.84375,11.3087244131827,1,81528.84375,94.52083333,32.64583333,0,,,0.5270629446645859,1.28223747919668,1.51775680341027,0.7685975807748221,-0.404735339899014,0.7309189646667721,-1.95165067385797,-0.567283149937948,-0.482501700463786
864,68347.7734375,11.1323788966729,1,68347.7734375,94.52083333,33.27083333,0,,,0.458504406724739,0.9725817686733059,1.3954826610212498,0.5519720061728289,-0.404735339899014,1.31959666860397,-1.6688833911763001,-0.661924247303865,-0.482501700463786
896,17323.66796875,9.759886659011539,1,17323.66796875,94.52083333,33.89583333,0,,,0.39847698859283903,0.961641976566789,1.6188803478619098,0.700957447525319,-0.404735339899014,0.11405452712586399,-2.2736520452061804,-1.00629057481605,-0.482501700463786
918,28091.052734375,10.2432419944797,1,28091.052734375,94.52083333,34.52083333,0,,,0.383172539383308,1.39759382492132,1.02186218426894,-0.171075264195176,-0.404735339899014,1.8492928667706698,-0.78562407866149,-0.759030860408243,0.33648444656269
918,28091.052734375,10.2432419944797,1,28091.052734375,94.52083333,35.14583333,0,,,0.355232014217437,1.23843131714866,1.03772930974187,-0.38796875152720506,-0.404735339899014,0.7113065893317441,-0.59379819043998,-0.8992095635016071,-0.482501700463786
993,247780.46875,12.4203024622896,1,247780.46875,94.52083333,35.77083333,0,,,0.3774023850292961,0.973057823332967,1.14847971190072,-0.37971221524072996,-0.404735339899014,0.8477372385753629,-0.9780647724633041,-0.763893992921675,-0.482501700463786
993,247780.46875,12.4203024622896,1,247780.46875,94.52083333,37.02083333,0,,,0.29488379569618395,0.555384230488183,0.610479599701677,-1.59485700147953,-0.404735339899014,0.490314739973644,1.18605773001178,-0.6518607062950429,-0.482501700463786
1086,12145.3935546875,9.40478757793222,1,12145.3935546875,94.52083333,37.64583333,0,,,0.31633231127627304,0.9230940165631129,0.653043095381958,-1.4859801032490398,-0.404735339899014,1.6588949328931901,1.12872852826567,-1.3057025007314,-0.482501700463786
1086,12145.3935546875,9.40478757793222,1,12145.3935546875,94.52083333,38.89583333,0,,,0.39124453340149296,-0.41407996117846296,0.672558803320429,-1.32608132084964,-0.404735339899014,1.8033479075011,1.0170814742983,-1.9746782966754899,-0.482501700463786
1154,201461.34375,12.213357763252098,1,201461.34375,94.52083333,40.77083333,0,,,0.333618381314988,0.31122946552215003,0.323401693921586,-1.51126740747362,-0.404735339899014,0.21554812218544897,2.07116822313396,-0.589783397737064,-0.482501700463786
1154,201461.34375,12.213357763252098,1,201461.34375,94.52083333,41.39583333,0,,,0.357810594364343,0.37391832861311897,0.310900119424877,-1.40323093006291,-0.404735339899014,0.041286776018503994,1.92738039809179,-0.855375705754134,-0.482501700463786
1259,57702.6484375,10.963075681649698,1,57702.6484375,94.52083333,42.02083333,0,,,0.39727428178036495,-0.168301715227734,-0.0189425805303074,-1.6047330752451203,-0.404735339899014,-0.17739977140094199,2.0996246355024,-0.0710015753316882,-0.482501700463786
1259,57702.6484375,10.963075681649698,1,57702.6484375,94.52083333,42.64583333,0,,,0.44640855253834205,-0.13204721504033598,0.11587670263968701,-1.3593244821108201,-0.404735339899014,-0.20821236868007398,1.81350217575557,-0.141707568590215,-0.482501700463786
1259,57702.6484375,10.963075681649698,1,57702.6484375,94.52083333,43.89583333,0,,,0.5382279788497899,0.199139349164923,-0.8041074440895891,-2.1448972913760502,-0.404735339899014,-0.00497220288378344,1.9864926866821202,-1.08733423490051,-0.482501700463786
753,36707.71484375,10.510769467535699,1,36707.71484375,95.14583333,30.14583333,0,,,1.0088318873358901,1.11499084171266,1.03891854116961,0.910997019554006,-0.404735339899014,0.0295680185862202,-1.8872176650141799,-0.455129611699437,-0.482501700463786
804,61468.86328125,11.0263023057445,1,61468.86328125,95.14583333,32.02083333,0,,,0.529892906615688,1.1565248136233601,1.5236015057941699,0.9322635993889141,-0.404735339899014,0.590447146335167,-2.07645819747604,-0.17385837883164598,-0.482501700463786
918,28091.052734375,10.2432419944797,1,28091.052734375,95.14583333,35.14583333,0,,,0.290479402366403,1.45606309253026,1.0885294900728,-0.194366855445125,-0.404735339899014,0.721208383844908,-1.13932610071662,-0.8916593356151401,-0.482501700463786
993,247780.46875,12.4203024622896,1,247780.46875,95.14583333,35.77083333,0,,,0.323547655838519,0.735522160168566,1.06609973967537,-0.447836017996595,-0.404735339899014,0.525959176291067,-0.77208452629612,-0.823767495474706,-0.482501700463786
993,247780.46875,12.4203024622896,1,247780.46875,95.14583333,37.02083333,0,,,0.209496638274775,0.44423416689075795,0.6092758810603979,-1.44690942002709,-0.404735339899014,-3.1911397414083,1.05278268344971,-1.57954915131358,-0.482501700463786
1086,12145.3935546875,9.40478757793222,1,12145.3935546875,95.14583333,37.64583333,0,,,0.22393276453741398,0.777430814181328,0.741605183881937,-1.0705150521027,-0.404735339899014,1.04995506009012,0.5354311254877211,-1.0914306217807,-0.482501700463786
1086,12145.3935546875,9.40478757793222,1,12145.3935546875,95.14583333,38.27083333,0,,,0.306105311749236,0.9837724568850409,0.8658579134465709,-0.6886607562511851,-0.404735339899014,0.5347513158830971,-0.5252163641085371,-1.4539340931408402,-0.482501700463786
1137,10922.498046875,9.298671531965839,1,10922.498046875,95.14583333,38.89583333,0,,,0.327362666919442,0.20765466812126301,0.733130272515378,-0.972221778620952,-0.404735339899014,0.0141864911789988,0.25276478533813196,-1.9746782966754899,-0.482501700463786
1166,141934.015625,11.863124595392199,1,141934.015625,95.14583333,40.77083333,0,,,0.276884484985853,-0.9681759074954499,0.154325689342776,-1.5526889846033898,-0.404735339899014,0.35902499359169,2.19876719714928,-0.46054176477807596,-0.482501700463786
1166,141934.015625,11.863124595392199,1,141934.015625,95.14583333,41.39583333,0,,,0.308136562041312,-0.15249443360163,0.41849817346611795,-1.27300605010974,-0.404735339899014,0.167876099707263,1.48086580196083,-0.661019547931831,-0.482501700463786
