index,id,longitude,latitude,voronoi_pop,nbHF,sampling,provnames,access,pet,pop,urban,W_access,voronoi_adj_pop,total_cases,adj_cases
31,24,110.9509,22.01601,6354758.5,1,1,Guangdong,-0.9633604999410049,0.92128521989193,1.44483771541598,1.42664579143535,-0.786898251766932,6354758.5,24.0,0.377669741501585
33,25,111.7726,22.037689999999998,3683921.5,1,1,Guangdong,-0.7747176341199359,0.8618472501041099,1.30140407946803,1.2506144275814999,-0.8954628889369209,3683921.5,26.0,0.7057696533435905
35,26,109.0235,22.1822,3132090.0,1,1,Guangxi,-0.8091320185760151,0.654166847723453,1.3057346692646299,0.741101476062378,-0.786357445407604,3132090.0,16.0,0.510841003930283
37,27,112.6714,22.28417,2997238.75,1,1,Guangdong,-0.721516712691356,0.53137535684908,1.27330178230308,1.05644788186148,-0.992584239532381,2997238.75,38.0,1.2678336018443643
38,28,114.1324,22.38074,1093672.5,2,1,Hong Kong,-2.92047046570948,0.220797732767224,2.74044188885009,1.17789213539352,-1.0139015161373999,546836.25,74.0,13.532387437738445
39,28,114.164553,22.388813600000002,1093672.5,2,1,Hong Kong,-2.92047046570948,0.220797732767224,2.74044188885009,1.17789213539352,-1.0139015161373999,546836.25,2.0,0.36574020101995797
40,29,110.182,22.44296,5594098.5,1,1,Guangxi,-0.62142843514964,0.767396506646237,1.59710948410772,1.0358292014851,-0.751628021457116,5594098.5,22.0,0.3932715879064339
42,30,113.3859,22.52105,6079909.0,1,1,Guangdong,-1.58399266304874,0.410705305488861,3.31636712136581,3.3400993157361603,-1.0248852427339998,6079909.0,92.0,1.5131805426693063
43,31,114.1291,22.65389,9541246.0,1,1,Guangdong,-1.74417569061672,0.482711650136901,2.96938845087198,2.73063800301404,-1.0179524076195001,9541246.0,714.0,7.483299351049119
44,32,113.8738,22.93336,8925300.0,1,1,Guangdong,-1.9211287859786699,0.34392446331263604,2.55751665083416,2.65161765457178,-1.02710923039754,8925300.0,130.0,1.456533673938131
45,33,115.5411,23.0011,3024690.5,1,1,Guangdong,-0.963041234193552,0.448219404983761,1.2169591742821,0.741101476062378,-0.884413913244422,3024690.5,8.0,0.2644898709471266
46,34,112.9444,23.0131,10075692.0,1,1,Guangdong,-0.512398093640237,0.277881022401053,2.13943944986048,2.18598443830068,-1.03450495879246,10075692.0,140.0,1.3894827273402164
