longitude,latitude,cases,access,longxlat
106.1671,37.28727,3.1428571428571432,234.2950897216797,3958.681322817
106.1836,35.95574000000001,1.0,404.6380310058594,3817.9099138640013
106.189,29.564759999999996,1.8,209.26522827148446,3139.452299639999
106.2033,31.197029999999998,1.625,185.21080017089844,3313.2275361989996
106.2579,29.03267,1.3333333333333333,294.6404113769531,3084.9505455930002
106.2863,23.98862,1.0,126.6436538696289,2549.661661906
106.3081,30.11512,1.75,105.14933776855469,3201.481188472
106.3496,38.2349,2.2,128.46040344238278,4066.26632104
106.3625,29.43189000000001,1.8571428571428568,90.14494323730469,3130.449400125001
106.3637,29.62567,4.0,108.83322143554688,3151.095876179
106.4452,29.41508,2.0,44.1617431640625,3131.094073616
106.46998799999999,29.527955,2.0,17.503049850463867,3143.8410145145394
