"longitude","latitude","date","cases","Org.ID"
105.6275,34.40163,2020-02-02,1,452
105.6275,34.40163,2020-02-03,1,452
105.666,28.44237,2020-02-04,1,280
105.666,28.44237,2020-01-29,1,280
105.666,28.44237,2020-02-08,3,280
105.666,28.44237,2020-02-03,2,280
105.666,28.44237,2020-02-06,1,280
105.666,28.44237,2020-01-27,4,280
105.6869,27.22752,2020-02-03,2,481
105.7378,34.64971,2020-01-27,1,299
105.7378,34.64971,2020-01-31,1,299
105.7388,29.65237,2020-01-30,2,204
105.7388,29.65237,2020-01-26,1,204
105.7388,29.65237,2020-01-29,1,204
105.7388,29.65237,2020-02-02,1,204
105.7818,32.26332,2020-02-03,1,358
105.7818,32.26332,2020-01-29,1,358
105.8098,30.14745,2020-02-02,1,442
105.8098,30.14745,2020-02-05,3,442
105.8098,30.14745,2020-02-13,1,442
105.8098,30.14745,2020-02-03,1,442
105.8098,30.14745,2020-02-15,1,442
105.8098,30.14745,2020-02-11,1,442
105.8705,29.29301,2020-01-24,2,36
105.8705,29.29301,2020-01-22,1,36
105.9499,25.99582,2020-02-04,1,515
106.0291,29.81456,2020-02-01,2,206
106.0291,29.81456,2020-01-26,1,206
106.0291,29.81456,2020-02-02,3,206
106.0291,29.81456,2020-01-27,1,206
106.0543,35.25054,2020-02-09,1,595
106.1281,34.73969,2020-01-29,1,359
106.1453,34.415,2020-02-08,2,454
106.1453,34.415,2020-02-03,1,454
106.1453,34.415,2020-02-02,4,454
106.1527,37.07805,2020-02-13,3,605
106.1671,37.28727,2020-02-07,2,386
106.1671,37.28727,2020-02-02,2,386
106.1671,37.28727,2020-01-30,4,386
106.1671,37.28727,2020-02-01,2,386
106.1671,37.28727,2020-02-06,3,386
106.1671,37.28727,2020-02-03,3,386
106.1671,37.28727,2020-02-05,6,386
106.1836,35.95574,2020-01-26,1,236
106.189,29.56476,2020-01-29,2,202
106.189,29.56476,2020-02-16,1,202
106.189,29.56476,2020-01-26,2,202
106.189,29.56476,2020-01-31,2,202
106.189,29.56476,2020-01-30,2,202
106.2033,31.19703,2020-01-29,1,293
106.2033,31.19703,2020-02-03,1,293
106.2033,31.19703,2020-02-07,1,293
106.2033,31.19703,2020-01-27,4,293
106.2033,31.19703,2020-02-06,1,293
106.2033,31.19703,2020-02-04,1,293
106.2033,31.19703,2020-02-08,1,293
106.2033,31.19703,2020-02-17,3,293
106.2579,29.03267,2020-01-27,2,283
106.2579,29.03267,2020-02-05,1,283
106.2579,29.03267,2020-01-29,1,283
106.2863,23.98862,2020-01-24,1,103
106.2863,23.98862,2020-01-25,1,103
106.2863,23.98862,2020-02-06,1,103
106.3081,30.11512,2020-02-02,1,211
106.3081,30.11512,2020-01-31,2,211
106.3081,30.11512,2020-02-05,2,211
106.3081,30.11512,2020-02-12,1,211
106.3081,30.11512,2020-01-26,2,211
106.3081,30.11512,2020-01-29,2,211
106.3081,30.11512,2020-02-11,2,211
106.3081,30.11512,2020-01-27,2,211
106.3496,38.2349,2020-01-25,1,48
106.3496,38.2349,2020-01-28,2,48
106.3496,38.2349,2020-01-27,3,48
106.3496,38.2349,2020-01-31,4,48
106.3496,38.2349,2020-01-22,1,48
106.3625,29.43189,2020-01-30,3,123
106.3625,29.43189,2020-02-02,2,123
106.3625,29.43189,2020-02-01,2,123
106.3625,29.43189,2020-01-25,1,123
106.3625,29.43189,2020-01-31,1,123
106.3625,29.43189,2020-01-27,2,123
106.3625,29.43189,2020-01-24,2,123
106.3637,29.62567,2020-01-31,2,403
106.3637,29.62567,2020-02-11,6,403
106.4452,29.41508,2020-01-27,2,122
106.4452,29.41508,2020-01-24,1,122
106.4452,29.41508,2020-01-25,3,122
106.469988,29.527955,2020-02-05,2,541
106.4984,37.44059,2020-01-31,1,335
106.4984,37.44059,2020-01-28,2,335
106.4984,37.44059,2020-01-29,1,335
106.5376,29.55234,2020-01-29,1,352
106.5376,29.55234,2020-02-01,2,352
106.5376,29.55234,2020-01-30,3,352
106.5376,29.55234,2020-02-05,1,352
106.5376,29.55234,2020-01-31,2,352
106.567,29.6426,2020-01-25,2,124
106.567,29.6426,2020-02-12,1,124
106.567,29.6426,2020-01-24,1,124
106.567,29.6426,2020-01-30,1,124
106.567,29.6426,2020-02-03,1,124
106.567,29.6426,2020-02-01,2,124
106.567,29.6426,2020-01-27,5,124
106.567,29.6426,2020-01-31,1,124
106.5993,35.20198,2020-02-13,1,587
106.5993,35.20198,2020-02-09,2,587
106.5993,35.20198,2020-02-10,1,587
106.5993,35.20198,2020-02-07,1,587
106.5993,35.20198,2020-02-08,2,587
106.6421,35.30775,2020-01-28,1,334
106.6592,29.54034,2020-01-27,1,288
106.6592,29.54034,2020-02-01,1,288
106.6592,29.54034,2020-02-02,2,288
106.6592,29.54034,2020-02-13,3,288
106.6592,29.54034,2020-02-12,2,288
106.6592,29.54034,2020-02-03,1,288
106.6592,29.54034,2020-01-29,1,288
106.6592,29.54034,2020-01-30,1,288
106.6603,26.3924,2020-02-08,1,590
106.6635,30.42717,2020-01-23,1,65
106.6635,30.42717,2020-02-03,3,65
106.6635,30.42717,2020-01-27,5,65
106.6635,30.42717,2020-02-07,1,65
106.6635,30.42717,2020-02-06,3,65
106.7064,26.84311,2020-02-06,4,32
106.7064,26.84311,2020-02-08,2,32
106.7064,26.84311,2020-02-05,3,32
106.7064,26.84311,2020-02-04,2,32
106.7064,26.84311,2020-01-22,1,32
106.7064,26.84311,2020-01-31,3,32
106.707,29.62085,2020-02-01,1,203
106.707,29.62085,2020-01-27,2,203
106.707,29.62085,2020-01-29,2,203
106.707,29.62085,2020-01-31,4,203
106.707,29.62085,2020-02-02,3,203
106.707,29.62085,2020-02-05,2,203
106.707,29.62085,2020-02-15,1,203
106.707,29.62085,2020-01-26,2,203
106.707,29.62085,2020-02-14,2,203
106.707,29.62085,2020-02-16,1,203
106.707,29.62085,2020-01-30,2,203
106.7179,28.88242,2020-02-05,1,282
106.7179,28.88242,2020-02-03,5,282
106.7179,28.88242,2020-02-15,1,282
106.7179,28.88242,2020-01-29,3,282
106.7179,28.88242,2020-02-11,1,282
106.7179,28.88242,2020-01-27,2,282
106.7179,28.88242,2020-02-14,2,282
106.7179,28.88242,2020-02-02,1,282
106.7179,28.88242,2020-02-12,5,282
106.7187,26.54928,2020-02-03,3,436
106.7187,26.54928,2020-02-02,1,436
106.7437,29.81392,2020-01-27,2,125
106.7437,29.81392,2020-01-29,1,125
106.7437,29.81392,2020-01-25,2,125
106.7437,29.81392,2020-02-01,1,125
106.7437,29.81392,2020-01-24,2,125
106.7437,29.81392,2020-01-30,3,125
106.7437,29.81392,2020-01-31,1,125
106.7477,29.37342,2020-01-27,1,286
106.7477,29.37342,2020-02-13,1,286
106.7477,29.37342,2020-02-02,1,286
106.8782,26.82942,2020-02-08,1,375
106.8782,26.82942,2020-01-30,3,375
106.8807,39.55261,2020-02-03,1,488
106.8838,39.74473,2020-02-02,1,469
106.8838,39.74473,2020-02-04,1,469
106.8838,39.74473,2020-02-05,2,469
106.936514,27.9135627,2020-02-14,3,612
107.038,32.01936,2020-02-04,3,357
107.038,32.01936,2020-02-06,1,357
107.038,32.01936,2020-02-07,1,357
107.038,32.01936,2020-01-29,2,357
107.0848,28.17143,2020-02-07,6,379
107.0848,28.17143,2020-02-06,1,379
107.0848,28.17143,2020-01-30,1,379
107.0848,28.17143,2020-02-03,1,379
107.0848,28.17143,2020-01-31,3,379
107.1014,33.0928,2020-01-27,2,224
107.1014,33.0928,2020-02-02,2,224
107.1014,33.0928,2020-01-29,2,224
107.1014,33.0928,2020-01-26,1,224
107.1014,33.0928,2020-01-28,1,224
107.1014,33.0928,2020-02-05,3,224
107.1014,33.0928,2020-02-07,1,224
107.1356,29.95723,2020-01-30,1,12
107.1356,29.95723,2020-02-02,1,12
107.1356,29.95723,2020-01-24,2,12
107.1356,29.95723,2020-02-12,1,12
107.1356,29.95723,2020-01-31,2,12
107.1356,29.95723,2020-02-16,1,12
107.1356,29.95723,2020-01-21,1,12
107.1356,29.95723,2020-02-15,2,12
107.1356,29.95723,2020-01-25,1,12
107.1356,29.95723,2020-01-27,2,12
107.1928,26.43055,2020-02-03,1,31
107.1928,26.43055,2020-01-22,1,31
107.1928,26.43055,2020-02-06,1,31
107.2001,34.38244,2020-01-28,3,332
107.2001,34.38244,2020-02-07,2,332
107.2001,34.38244,2020-02-09,1,332
107.2001,34.38244,2020-02-03,1,332
107.2001,34.38244,2020-01-29,1,332
107.2502,26.0176,2020-01-27,3,272
107.271223,34.345903,2020-02-04,1,522
107.3324,29.66086,2020-01-22,1,37
107.3324,29.66086,2020-02-02,1,37
107.4299,40.92462,2020-02-03,1,493
107.4299,40.92462,2020-02-04,1,493
107.4326,30.25976,2020-02-03,1,126
107.4326,30.25976,2020-01-24,1,126
107.4326,30.25976,2020-02-05,1,126
107.4326,30.25976,2020-01-27,3,126
107.4326,30.25976,2020-02-02,1,126
107.4326,30.25976,2020-01-30,3,126
107.4326,30.25976,2020-01-25,1,126
107.4326,30.25976,2020-02-01,1,126
107.4326,30.25976,2020-01-31,2,126
107.567,41.45351,2020-02-05,4,365
107.567,41.45351,2020-02-08,2,365
107.567,41.45351,2020-01-31,1,365
107.567,41.45351,2020-01-29,1,365
107.596,38.26614,2020-02-04,1,487
107.596,38.26614,2020-02-03,1,487
107.6062,28.93119,2020-02-02,3,441
107.6465,31.37014,2020-01-27,2,70
107.6465,31.37014,2020-02-03,2,70
107.6465,31.37014,2020-01-23,1,70
107.6465,31.37014,2020-02-07,2,70
107.6465,31.37014,2020-01-29,1,70
107.6465,31.37014,2020-02-04,4,70
107.6465,31.37014,2020-02-16,2,70
107.6465,31.37014,2020-02-06,3,70
107.6465,31.37014,2020-02-17,1,70
107.6714,36.04074,2020-02-09,1,596
107.6779,34.40641,2020-02-04,1,453
107.6779,34.40641,2020-02-02,1,453
107.7047,29.37578,2020-01-29,1,350
107.7139,30.66124,2020-02-02,1,212
107.7139,30.66124,2020-01-26,1,212
107.7139,30.66124,2020-01-30,1,212
107.7436,37.37923,2020-02-06,1,579
107.823,29.88972,2020-01-26,1,207
107.823,29.88972,2020-01-27,2,207
107.823,29.88972,2020-02-05,3,207
107.823,29.88972,2020-02-01,1,207
107.823,29.88972,2020-01-31,1,207
107.8409,24.64574,2020-01-29,2,105
107.8409,24.64574,2020-02-14,1,105
107.8409,24.64574,2020-01-24,3,105
107.8409,24.64574,2020-02-05,2,105
107.8409,24.64574,2020-02-07,4,105
107.8409,24.64574,2020-02-21,1,105
107.8409,24.64574,2020-02-04,1,105
107.8409,24.64574,2020-02-03,2,105
107.8409,24.64574,2020-02-08,4,105
107.8409,24.64574,2020-02-18,1,105
107.8409,24.64574,2020-02-20,1,105
107.8409,24.64574,2020-01-30,1,105
107.8409,24.64574,2020-02-09,2,105
107.8716,32.51348,2020-02-06,1,517
107.8716,32.51348,2020-02-04,1,517
107.8793,30.07034,2020-01-27,3,291
107.8793,30.07034,2020-02-02,1,291
107.8793,30.07034,2020-02-08,18,291
107.9107,30.33852,2020-01-27,4,127
107.9107,30.33852,2020-02-02,3,127
107.9107,30.33852,2020-01-30,1,127
107.9107,30.33852,2020-01-24,1,127
107.9107,30.33852,2020-02-15,1,127
107.9107,30.33852,2020-01-29,2,127
107.9107,30.33852,2020-01-25,4,127
107.9382,26.6305,2020-01-30,1,374
107.9967,21.88401,2020-02-03,2,98
107.9967,21.88401,2020-01-24,2,98
107.9967,21.88401,2020-02-15,1,98
107.9967,21.88401,2020-02-07,1,98
107.9967,21.88401,2020-01-26,1,98
107.9967,21.88401,2020-01-30,2,98
107.9967,21.88401,2020-02-04,2,98
107.9967,21.88401,2020-02-19,1,98
107.9967,21.88401,2020-01-28,2,98
107.9967,21.88401,2020-01-31,1,98
107.9967,21.88401,2020-02-02,1,98
107.9967,21.88401,2020-02-05,2,98
107.9967,21.88401,2020-02-09,1,98
108.0477,34.2851,2020-02-04,1,521
108.0604,41.03795,2020-02-03,2,388
108.0604,41.03795,2020-01-30,1,388
108.0604,41.03795,2020-02-04,2,388
108.1031,35.56591,2020-02-05,1,462
108.1031,35.56591,2020-02-02,1,462
108.1799,34.31159,2020-02-02,1,451
108.2932,30.09428,2020-01-25,3,158
108.2932,30.09428,2020-01-31,2,158
108.2932,30.09428,2020-01-27,3,158
108.2932,30.09428,2020-01-29,1,158
108.3787,31.27337,2020-01-30,3,132
108.3787,31.27337,2020-01-24,2,132
108.3787,31.27337,2020-01-27,5,132
108.3787,31.27337,2020-02-11,2,132
108.3787,31.27337,2020-01-29,4,132
108.3787,31.27337,2020-01-25,2,132
108.3787,31.27337,2020-02-02,1,132
108.3897,34.78867,2020-01-29,1,81
108.3897,34.78867,2020-01-23,1,81
108.3897,34.78867,2020-02-08,1,81
108.3897,34.78867,2020-02-05,4,81
108.3897,34.78867,2020-01-27,2,81
108.3897,34.78867,2020-02-04,2,81
108.3897,34.78867,2020-01-25,1,81
108.4023,30.70612,2020-02-11,1,14
108.4023,30.70612,2020-02-12,2,14
108.4023,30.70612,2020-02-03,1,14
108.4023,30.70612,2020-02-15,1,14
108.4023,30.70612,2020-02-14,2,14
108.4023,30.70612,2020-01-27,2,14
108.4023,30.70612,2020-01-29,9,14
108.4023,30.70612,2020-01-21,2,14
108.4023,30.70612,2020-01-31,5,14
108.4023,30.70612,2020-02-05,3,14
108.4023,30.70612,2020-02-01,6,14
108.4023,30.70612,2020-02-16,3,14
108.4023,30.70612,2020-01-24,1,14
108.4023,30.70612,2020-01-25,10,14
108.4023,30.70612,2020-01-30,4,14
108.4023,30.70612,2020-02-19,3,14
108.4023,30.70612,2020-02-02,10,14
108.4337,32.44509,2020-02-14,1,613
108.4629,23.05898,2020-01-28,2,149
108.4629,23.05898,2020-01-26,4,149
108.4629,23.05898,2020-02-10,4,149
108.4629,23.05898,2020-02-14,2,149
108.4629,23.05898,2020-01-30,1,149
108.4629,23.05898,2020-02-13,3,149
108.4629,23.05898,2020-02-17,3,149
108.4629,23.05898,2020-02-15,1,149
108.4629,23.05898,2020-02-05,2,149
108.4629,23.05898,2020-02-07,1,149
108.4629,23.05898,2020-02-21,1,149
108.4629,23.05898,2020-02-04,1,149
108.4629,23.05898,2020-01-29,8,149
108.4629,23.05898,2020-02-03,5,149
108.4629,23.05898,2020-01-25,1,149
108.4629,23.05898,2020-02-02,6,149
108.4629,23.05898,2020-02-16,1,149
108.4629,23.05898,2020-02-11,3,149
108.4629,23.05898,2020-02-06,1,149
108.4629,23.05898,2020-02-08,3,149
108.4629,23.05898,2020-02-09,2,149
108.5408,27.97374,2020-01-31,1,34
108.5408,27.97374,2020-01-22,1,34
108.5408,27.97374,2020-02-08,1,34
108.5408,27.97374,2020-01-25,1,34
108.5576,26.50835,2020-02-04,1,398
108.5576,26.50835,2020-01-31,1,398
108.5816,34.001,2020-02-04,1,519
108.6337,39.42306,2020-01-26,2,247
108.6337,39.42306,2020-01-31,1,247
108.6337,39.42306,2020-02-05,11,247
108.7029,29.43689,2020-01-30,1,287
108.7029,29.43689,2020-01-27,1,287
108.7309,31.88474,2020-02-03,1,218
108.7309,31.88474,2020-01-26,1,218
108.7685,27.72673,2020-02-02,1,440
108.7872,34.10727,2020-01-27,5,79
108.7872,34.10727,2020-01-23,2,79
108.7872,34.10727,2020-01-26,1,79
108.7872,34.10727,2020-01-29,3,79
108.7872,34.10727,2020-02-08,8,79
108.7872,34.10727,2020-02-09,8,79
108.7872,34.10727,2020-01-25,4,79
108.7872,34.10727,2020-02-03,8,79
108.7872,34.10727,2020-02-02,3,79
108.7872,34.10727,2020-02-01,1,79
108.7872,34.10727,2020-01-28,3,79
108.7872,34.10727,2020-02-07,6,79
108.7954,28.90145,2020-02-05,1,540
108.8407,18.99376,2020-02-04,1,259
108.8407,18.99376,2020-01-27,1,259
108.85,34.316191,2020-02-05,1,558
108.8523,31.03847,2020-01-31,2,131
108.8523,31.03847,2020-01-24,1,131
108.8523,31.03847,2020-02-01,1,131
108.8523,31.03847,2020-01-26,3,131
108.8523,31.03847,2020-01-29,2,131
108.8523,31.03847,2020-02-16,1,131
108.8523,31.03847,2020-02-13,1,131
108.8523,31.03847,2020-02-05,1,131
108.8523,31.03847,2020-01-27,6,131
108.8523,31.03847,2020-01-30,3,131
108.860978,19.361245,2020-02-02,1,431
108.8832,35.26458,2020-02-01,14,406
108.8832,35.26458,2020-01-31,31,406
108.8847,32.81089,2020-02-02,2,445
108.8962,34.27251,2020-02-06,2,173
108.8962,34.27251,2020-02-05,1,173
108.8962,34.27251,2020-01-25,1,173
108.9099,34.34604,2020-02-06,1,523
108.9099,34.34604,2020-02-04,1,523
108.9099,34.34604,2020-02-05,2,523
108.9258,32.76183,2020-01-24,1,136
108.9258,32.76183,2020-01-27,4,136
108.9258,32.76183,2020-01-28,1,136
108.9258,32.76183,2020-02-05,2,136
108.9258,32.76183,2020-01-29,2,136
108.9258,32.76183,2020-02-03,1,136
108.9258,32.76183,2020-01-25,2,136
108.9274,34.03647,2020-01-25,1,172
108.9416,34.20667,2020-02-05,1,520
108.9416,34.20667,2020-02-04,1,520
108.9538,34.24815,2020-02-06,1,448
108.9538,34.24815,2020-02-02,1,448
108.9863,34.27348,2020-02-05,3,449
108.9863,34.27348,2020-02-02,1,449
108.9977,19.21995,2020-02-02,1,430
108.9977,19.21995,2020-02-11,1,430
108.9977,19.21995,2020-02-06,1,430
108.9977,19.21995,2020-02-09,1,430
109.0143,28.49524,2020-01-24,1,117
109.0235,22.1822,2020-02-03,1,347
109.0235,22.1822,2020-02-01,1,347
109.0235,22.1822,2020-02-07,1,347
109.0235,22.1822,2020-01-29,1,347
109.0235,22.1822,2020-02-04,1,347
109.0235,22.1822,2020-02-05,3,347
109.0307,35.19603,2020-01-26,5,234
109.0307,35.19603,2020-02-07,1,234
109.0307,35.19603,2020-02-03,1,234
109.0491,18.65009,2020-01-31,1,390
109.0491,18.65009,2020-02-08,1,390
