longitude,latitude,date,cases,Org.ID,raster_value
103.9368,25.70936,2020-01-27,1,270,215.41400146484375
103.9368,25.70936,2020-02-02,1,270,215.41400146484375
103.9368,25.70936,2020-02-04,1,270,215.41400146484375
103.9368,25.70936,2020-01-29,4,270,215.41400146484375
104.0039,27.65652,2020-02-08,3,195,112.45777893066406
104.0039,27.65652,2020-01-26,1,195,112.45777893066406
104.0039,27.65652,2020-02-13,5,195,112.45777893066406
104.0039,27.65652,2020-01-30,2,195,112.45777893066406
104.0039,27.65652,2020-01-27,1,195,112.45777893066406
104.1369,35.13411,2020-02-01,1,421,242.95758056640625
104.1535,36.56493,2020-02-05,1,562,12.546630859375
104.3416,24.98012,2020-01-25,1,152,309.4786682128906
104.4301,31.13417,2020-01-23,1,69,162.67494201660156
104.4301,31.13417,2020-01-29,1,69,162.67494201660156
104.4301,31.13417,2020-02-07,1,69,162.67494201660156
104.4301,31.13417,2020-02-08,3,69,162.67494201660156
104.4301,31.13417,2020-02-03,2,69,162.67494201660156
104.4519,35.12274,2020-01-25,1,174,155.15086364746094
104.6208,36.61864,2020-02-06,1,85,97.17705535888672
104.6208,36.61864,2020-01-23,1,85,97.17705535888672
104.6236,35.10665,2020-02-03,1,482,307.8049621582031
104.6236,35.10665,2020-02-07,3,482,307.8049621582031
104.6236,35.10665,2020-02-05,2,482,307.8049621582031
104.6236,35.10665,2020-02-13,1,482,307.8049621582031
104.6293,27.132990000000003,2020-02-03,2,480,228.76927185058594
104.633,28.57595,2020-01-27,1,281,302.5088806152344
104.633,28.57595,2020-01-29,1,281,302.5088806152344
104.633,28.57595,2020-02-06,1,281,302.5088806152344
104.633,28.57595,2020-02-17,1,281,302.5088806152344
104.68299999999999,29.28939,2020-01-27,9,285,135.61766052246094
104.68299999999999,29.28939,2020-02-08,1,285,135.61766052246094
104.7008,31.8534,2020-01-26,3,41,368.5230712890625
104.7008,31.8534,2020-02-07,1,41,368.5230712890625
104.7008,31.8534,2020-01-22,2,41,368.5230712890625
104.7008,31.8534,2020-02-06,1,41,368.5230712890625
104.7008,31.8534,2020-01-27,3,41,368.5230712890625
104.7145,23.69131,2020-02-10,1,600,92.1619644165039
104.7303,36.72572,2020-02-06,1,578,104.39225006103516
104.8231,26.648809999999997,2020-02-02,1,437,111.46607208251953
104.8908,26.136229999999998,2020-01-31,4,273,512.14794921875
104.8908,26.136229999999998,2020-02-08,1,273,512.14794921875
104.8908,26.136229999999998,2020-01-27,1,273,512.14794921875
104.9131,29.6418,2020-02-06,1,289,275.6809387207031
104.9131,29.6418,2020-02-03,3,289,275.6809387207031
104.9131,29.6418,2020-01-29,1,289,275.6809387207031
104.9131,29.6418,2020-01-27,3,289,275.6809387207031
104.9131,29.6418,2020-02-14,1,289,275.6809387207031
105.0565,34.10804,2020-02-02,1,232,293.37298583984375
105.0565,34.10804,2020-01-26,1,232,293.37298583984375
105.0565,34.10804,2020-01-30,2,232,293.37298583984375
105.1839,35.208220000000004,2020-01-29,1,360,281.22796630859375
105.2156,27.06873,2020-01-31,2,377,67.18882751464844
105.2156,27.06873,2020-02-07,8,377,67.18882751464844
105.2156,27.06873,2020-02-04,2,377,67.18882751464844
105.2156,27.06873,2020-01-30,1,377,67.18882751464844
105.2156,27.06873,2020-02-05,2,377,67.18882751464844
105.4632,25.267139999999998,2020-02-07,2,153,466.7421569824219
105.4632,25.267139999999998,2020-01-25,1,153,466.7421569824219
105.4632,25.267139999999998,2020-02-03,1,153,466.7421569824219
105.4711,30.633309999999998,2020-02-07,1,67,42.58491897583008
105.4711,30.633309999999998,2020-01-23,1,67,42.58491897583008
105.4711,30.633309999999998,2020-01-27,2,67,42.58491897583008
105.4711,30.633309999999998,2020-02-08,2,67,42.58491897583008
105.4711,30.633309999999998,2020-02-16,7,67,42.58491897583008
105.4777,37.0548,2020-01-23,1,86,277.1905822753906
105.5027,29.465999999999998,2020-01-31,1,380,74.39354705810547
105.5027,29.465999999999998,2020-02-02,2,380,74.39354705810547
105.5027,29.465999999999998,2020-02-03,1,380,74.39354705810547
105.5027,29.465999999999998,2020-01-30,1,380,74.39354705810547
105.6275,34.40163,2020-02-02,1,452,402.676513671875
105.6275,34.40163,2020-02-03,1,452,402.676513671875
105.666,28.44237,2020-02-04,1,280,486.802734375
105.666,28.44237,2020-01-29,1,280,486.802734375
105.666,28.44237,2020-02-08,3,280,486.802734375
105.666,28.44237,2020-02-03,2,280,486.802734375
105.666,28.44237,2020-02-06,1,280,486.802734375
105.666,28.44237,2020-01-27,4,280,486.802734375
