"longitude","latitude","cases","raster_value"
111.5766,42.29795,1.5,427.150634765625
111.6133,27.73964,3.764705882352941,248.26353454589844
111.6247,37.11185,1.0,116.38744354248048
111.6267,40.7253,1.0,86.44173431396484
111.6319,35.49273,1.0,96.18264770507812
111.6876297,29.038209915,3.5652173913043477,42.31226348876953
111.7063,27.63327,29.0,182.4183807373047
111.7296,25.77932,3.8,168.390625
111.7726,22.03769,2.1666666666666665,167.72024536132812
111.8479,40.95981,2.0,374.3521423339844
111.9083,40.76903,1.0,71.9661865234375
111.9523,28.57683,3.6363636363636362,150.5861358642578
111.9823,43.67392,1.0,507.9654846191406
112.0323,34.2936,2.125,363.0220642089844
112.0444,32.68081,1.0,49.68226623535156
112.200210571,31.030216217000106,28.285714285714285,114.43712615966795
112.2026,23.54164,2.0,86.44444274902344
112.2527,37.14121,3.0,66.53441619873047
112.2833,33.04534,8.4,113.74970245361328
112.3012,37.62392,10.666666666666666,4.85435676574707
112.3157,37.96001,1.0,147.69984436035156
112.3487,35.42084000000001,1.0,196.8192901611328
112.3645,35.74579,1.0,101.45996856689452
112.3904,37.86721,2.0,24.197479248046875
112.3926,35.099909999999994,1.25,120.1556167602539
112.4382,41.7009,3.0,796.8648681640625
112.5737,26.79602,3.3076923076923075,63.8873176574707
112.6022,27.73204,2.142857142857143,161.1822967529297
112.6405,39.61984,2.0,452.7261962890625
112.6714,22.28417,1.9,178.65208435058594
112.7069,35.61116,1.0,44.781009674072266
112.7377,36.33671,1.0,225.67254638671875
112.8001,34.15829,1.0,78.92924499511719
112.8594,35.46545,1.0,22.278818130493164
112.8749,24.31602,1.8333333333333333,326.88226318359375
112.9151,36.47742,1.0,233.3901214599609
112.9444,23.0131,4.375,231.56668090820312
112.962,37.32883,3.0,100.93914031982422
113.0108,33.796859999999995,3.8333333333333335,37.22020721435547
113.0816,36.2784,1.0,95.96097564697266
113.1163,29.37227,2.0,7.898406505584718
113.1311,35.11887,1.8888888888888888,84.23628234863281
113.1376,25.81815,2.1538461538461537,50.13611221313477
113.1532,28.227590000000006,12.235294117647058,49.08102035522461
113.254,29.0682,6.555555555555555,106.52957153320312
113.2818,40.0828,1.0,46.29766464233398
113.2994,29.52133,1.0,57.59896087646485
113.3478,38.22273,1.0,255.38961791992188
113.361,22.16925,5.0588235294117645,85.70002746582031
113.3859,22.52105,3.5384615384615383,63.97933578491211
113.4305,23.35183,60.0,144.77105712890625
113.468,34.62931,6.421052631578948,177.9870147705078
113.4968,38.06465,1.0,31.131305694580078
113.5115,29.49117,1.0,79.93605041503906
113.5158,27.12398,4.0,213.35205078125
113.5364,23.34983,14.578947368421053,92.86444091796876
113.5622,37.84235,1.0,3.052099704742432
113.6136,33.90335,35.5,84.74356842041016
113.7089,34.07273,2.3636363636363638,13.0645112991333
113.7186,39.9064,1.0,425.5964660644531
113.7218,27.50699,1.0,192.79083251953125
113.7723,24.82198,1.4,323.6751403808594
113.8738,22.93336,4.333333333333333,40.27711486816406
113.8999,33.65542,3.0,74.80427551269531
113.9029,27.51356,2.4545454545454546,48.82322311401367
113.91133117700001,30.928455353000107,95.08108108108108,80.90718841552734
114.063312,22.3445126,1.0,13.054302215576172
114.084,35.26547,7.076923076923077,74.91191864013672
114.122,22.407,1.0,7.040039539337157
114.1291,22.65389,17.0,51.93717575073242
114.1324,22.38074,2.0,6.430083751678468
114.133808,22.3650193,1.0,5.719207286834718
114.1498,41.97032,1.5,209.30589294433597
114.1505,32.92419,7.769230769230769,69.58762359619139
114.164553,22.3888136,1.0,6.430083751678468
114.165248,22.2773596,1.0,2.460171699523926
114.18612,22.319751,1.0,11.707540512084961
114.187061,22.3044127,1.0,11.707540512084961
114.187767,22.319558,1.0,11.707540512084961
114.188121,22.2826304,1.0,6.080691337585449
114.206868,22.2859106,1.0,6.080691337585449
